,date,price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,lat,long,sqft_living15,sqft_lot15,renovated_time,isRenovated
count,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0,17597.0
mean,181.47093254532024,540921.3675058249,3.3716542592487357,2.1132437347275106,8.98891661961981,1.4953401147922942,0.007103483548332102,0.23361936693754617,3.410126726146502,7.659828379837473,1789.4871284878104,291.4152412343013,1970.895664033642,47.5604329885776,-122.21408041143377,1985.8018412229358,8.95871626217997,15223.66431778144,0.9596522134454737
std,113.00991442453328,368678.7936224935,0.9071895009662562,0.773515416489282,0.9048678026166256,0.5397170485216614,0.08398467063049436,0.7645159163894538,0.6500352088581134,1.1793029456829451,831.4971768030957,443.3733827313944,29.416766075572472,0.13841458439085094,0.1401578619164121,685.6936463574248,0.8131907770192369,10549.050960305025,0.19677917360800515
min,1.0,75000.0,0.0,0.0,6.253828811575473,1.0,0.0,0.0,1.0,1.0,290.0,0.0,1900.0,47.1559,-122.519,399.0,6.490723534502507,22.0,0.0
25%,82.0,322500.0,3.0,1.5,8.52793528794814,1.0,0.0,0.0,3.0,7.0,1190.0,0.0,1951.0,47.4716,-122.328,1480.0,8.536995818712418,5940.0,1.0
50%,168.0,450000.0,3.0,2.25,8.937218450855731,1.5,0.0,0.0,3.0,7.0,1560.0,0.0,1975.0,47.5725,-122.23,1840.0,8.935903526274423,13725.0,1.0
75%,293.0,645000.0,4.0,2.5,9.273784544532717,2.0,0.0,0.0,4.0,8.0,2210.0,560.0,1997.0,47.678,-122.125,2360.0,9.21642184229205,22194.0,1.0
max,391.0,7700000.0,10.0,8.0,14.3171091432381,3.5,1.0,4.0,5.0,13.0,9410.0,4820.0,2015.0,47.7776,-121.315,6210.0,13.677626850600888,42130.0,1.0
